city,aqi_value,aqi_category,pm2.5_aqi_value,meal_cheap_usd,meal_midrange_usd,rent_1br_outside_usd,rent_3br_city_usd,basic_utilities_usd,monthly_pass_usd,avg_net_salary_usd,quality_of_life_index,popcity,densitycity,congestion2019,crime_index,safety_index,aqi_score,pm25_score,air_quality_score,cost_index_raw,cost_score_absolute,monthly_living_cost,affordability_ratio,cost_score_affordability,safety_score,density_score_raw,congestion_score,urban_score,livability_score_absolute,livability_score_affordability,rank_absolute,rank_affordability,country
colorado springs,68,Moderate,68,20.5,64.35,51.5,39.38,26275.0,2.0,2100.0,5.32,416427.0,822.8448153,14.0,46.6,53.4,90.19,85.71,87.5,5285.05,78.75,26943.5,1283.02,91.73,51.1,96.80744363183939,85.11,90.96,76.47,80.36,163,126,United States of America
bratislava,61,Moderate,61,8.43,47.42,71.42,33.72,23901.37,0.95,1228.02,1.62,457426.0,1169.887468,27.0,30.6,69.4,91.65,87.3,89.04,4817.765,81.26,24226.64,1972.82,85.65,73.2,98.19825161296646,57.45,77.82,80.5,81.82,54,91, Slovakia
calgary,47,Good,47,18.53,63.0,54.07,44.06,19799.73,2.67,1976.24,4.58,1239220.0,1501.557028,13.0,36.7,63.3,94.57,90.48,92.12,3990.9539999999997,85.69,20412.37,1032.89,93.93,64.78,99.16523086265485,87.23,93.2,83.57,86.04,15,21, Canada
pittsburgh,53,Moderate,53,15.0,60.0,47.39,27.33,21000.3,2.75,2412.5,5.24,305704.0,2131.505295,14.0,38.5,61.5,93.32,89.12,90.8,4227.03,84.42,21500.44,891.21,95.18,62.29,99.99125892818532,85.11,92.55,82.11,85.34,33,29, PA
uppsala,29,Good,9,11.62,77.47,98.89,30.26,30989.13,2.91,1416.3,2.33,197787.0,1271.45153,19.0,46.6,53.4,98.33,99.09,98.79,6249.886000000001,73.58,31439.530000000002,2219.84,83.48,51.1,98.53256277219671,74.47,86.5,76.85,79.82,148,139,Sweden
curitiba,56,Moderate,56,4.79,28.74,46.76,42.3,25752.36,1.05,473.66,9.8,1746896.0,4016.129848,21.0,62.5,37.5,92.69,88.44,90.14,5174.915,79.34,25943.87,5477.32,54.79,29.14,94.55619573710624,70.21,82.38,70.1,62.73,261,293, Brazil
boston,44,Good,44,20.0,95.0,52.61,41.43,22391.38,2.4,4969.5,5.02,617594.0,4932.781454,15.0,39.4,60.6,95.2,91.16,92.78,4508.821000000001,82.91,23046.390000000003,463.76,98.94,61.05,88.08317184484089,82.98,85.53,80.44,85.25,55,32, MA
turku,36,Good,5,13.17,105.37,86.93,32.9,29504.87,3.16,1204.28,1.48,192962.0,629.8743268,18.0,46.6,53.4,96.87,100.0,98.75,5947.389,75.2,29990.059999999998,2490.29,81.1,51.1,95.8723450255646,76.6,86.24,77.27,79.04,136,156,Finland
vienna,45,Good,38,15.81,63.22,96.7,35.35,20472.29,2.53,2042.51,2.1,1901000.0,4584.589413,26.0,26.9,73.1,94.99,92.52,93.51,4146.223,84.86,21045.82,1030.39,93.95,78.31,90.79359001716074,59.57,75.18,83.45,86.18,17,17, Austria
wroclaw,50,Good,50,7.89,33.81,73.84,33.94,22858.66,1.01,959.45,7.45,640367.0,2186.896387,35.0,26.3,73.7,93.95,89.8,91.46,4610.330999999999,82.37,23170.21,2414.95,81.76,79.14,99.99955009963048,40.43,70.21,81.4,81.22,42,104, Poland
cairo,81,Moderate,81,4.07,20.35,39.37,37.51,21147.47,0.28,400.03,10.87,7740018.0,12772.30693,36.0,50.0,50.0,87.47,82.77,84.65,4250.021000000001,84.3,21309.22,5326.91,56.12,46.41,14.921418327669988,38.3,26.61,63.38,54.92,303,322, Egypt
vigo,22,Good,20,11.06,43.73,72.18,26.34,20292.35,1.42,1018.62,3.08,295623.0,2709.651696,13.0,46.6,53.4,99.79,96.6,97.88,4096.914,85.12,20697.749999999996,2031.94,85.13,51.1,99.56405847091885,87.23,93.4,81.46,81.46,41,98,Spain
